# E[GeV]  rate[MeV-1 s-1 sr-1]
1.154781984689458252e+00 0.000000000000000000e+00
1.539926526059491874e+00 1.967792737269049954e-19
2.053525026457145852e+00 3.566662357928747384e-17
2.738419634264361413e+00 1.890577784436191300e-15
3.651741272548377104e+00 4.738197541918851780e-14
4.869675251658630799e+00 3.816453948425487875e-13
6.493816315762113156e+00 1.572341943274862745e-12
8.659643233600654355e+00 3.895325270648660232e-12
1.154781984689458163e+01 6.610571848083101858e-12
1.539926526059491962e+01 8.629996921179621937e-12
2.053525026457145941e+01 9.489476028939167967e-12
2.738419634264361235e+01 9.248310994276121370e-12
3.651741272548377282e+01 8.261505320716246209e-12
4.869675251658631510e+01 7.081065897081024510e-12
6.493816315762113334e+01 6.068294478636195443e-12
8.659643233600652934e+01 5.276269973870348840e-12
1.154781984689458056e+02 4.652582306461805766e-12
1.539926526059491891e+02 4.134205667344953086e-12
2.053525026457145941e+02 3.674118162016479660e-12
2.738419634264361093e+02 3.262023235928251540e-12
3.651741272548377424e+02 2.899186334470197960e-12
4.869675251658630941e+02 2.579179665531560530e-12
6.493816315762112481e+02 2.293784659873906141e-12
8.659643233600653502e+02 2.029154619295699020e-12
1.154781984689458341e+03 1.762282203969620269e-12
1.539926526059492062e+03 1.472333124887899290e-12
2.053525026457145941e+03 1.162422704839905206e-12
2.738419634264361321e+03 8.666240391852669073e-13
3.651741272548376855e+03 6.202585919017666231e-13
4.869675251658631169e+03 4.316074242759659356e-13
6.493816315762112936e+03 2.905152536522526109e-13
8.659643233600652820e+03 1.870331960315173705e-13
1.154781984689458113e+04 1.148880290301563963e-13
1.539926526059491880e+04 6.789072616498076378e-14
2.053525026457145941e+04 3.907407130280821237e-14
2.738419634264361230e+04 2.211891639465021430e-14
3.651741272548376583e+04 1.235023613071603248e-14
4.869675251658631169e+04 6.769412316789116874e-15
6.493816315762112936e+04 3.619545033008216462e-15
8.659643233600653184e+04 1.884519349850765090e-15
1.154781984689458186e+05 9.570605252701149663e-16
1.539926526059492026e+05 4.746338812202624827e-16
2.053525026457146159e+05 2.295253711259121298e-16
2.738419634264361230e+05 1.081744823995809621e-16
3.651741272548377165e+05 4.990973885646258262e-17
4.869675251658631605e+05 2.266259468588173435e-17
6.493816315762114245e+05 1.014633977116538762e-17
8.659643233600654639e+05 4.503431760609740598e-18
1.154781984689458273e+06 2.000539054905536844e-18
1.539926526059492026e+06 8.861507170954683334e-19
2.053525026457146276e+06 3.857285816458130749e-19
2.738419634264361579e+06 1.649384063716230915e-19
3.651741272548377514e+06 7.018358388707243485e-20
4.869675251658631489e+06 2.977918706614536161e-20
6.493816315762112848e+06 1.246946861308200341e-20
8.659643233600653708e+06 5.125634370934104667e-21
1.154781984689458273e+07 2.072970510788029289e-21
1.539926526059491932e+07 8.232498465011095618e-22
2.053525026457146183e+07 3.180996301736863536e-22
2.738419634264361113e+07 1.188713903737770661e-22
3.651741272548376769e+07 4.323196250056940324e-23
4.869675251658631116e+07 1.556807259203865165e-23
6.493816315762113035e+07 5.646616802053922473e-24
8.659643233600653708e+07 2.057625864816089449e-24
