case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,0.0,0.0,0.0,0.0,6.498318417712485e-11
1,98,0.05,0.02458930015563965,0.02458930015563965,0.0,3.2433310877220535e-12,6.173579871183532e-11
1,98,0.1,0.050740450620651245,0.050740450620651245,0.0,6.519412923315428e-12,5.848543298541232e-11
1,98,0.15000000000000002,0.07977139949798584,0.07977139949798584,0.0,9.78944775597968e-12,5.523666138029552e-11
1,98,0.2,0.11163534224033356,0.11163534224033356,0.0,1.3059088530338079e-11,5.1987358048441687e-11
1,98,0.25,0.14492547512054443,0.14492547512054443,0.0,1.6336849198069663e-11,4.874129731296013e-11
1,98,0.30000000000000004,0.1839304268360138,0.1839304268360138,0.0,1.959993702556844e-11,4.5489209286292585e-11
1,98,0.35000000000000003,0.22243145108222961,0.22243145108222961,0.0,2.2886902987021944e-11,4.224291637481384e-11
1,98,0.4,0.2668582648038864,0.2668582648038864,0.0,2.6149662148340933e-11,3.899137866950165e-11
1,98,0.45,0.3125745356082916,0.3125745356082916,0.0,2.94251585480047e-11,3.574178171318889e-11
1,98,0.5,0.3614045977592468,0.3614045977592468,0.0,3.270247089086459e-11,3.2492089539680096e-11
1,98,0.55,0.41412533819675446,0.41412533819675446,0.0,3.5952240122798655e-11,2.924371775882816e-11
1,98,0.6000000000000001,0.4657231271266937,0.4657231271266937,0.0,3.9229559539882356e-11,2.6007550824523977e-11
1,98,0.65,0.5258522480726242,0.5258522480726242,0.0,4.249487816289332e-11,2.2745842130628436e-11
1,98,0.7000000000000001,0.5863066464662552,0.5863066464662552,0.0,4.5765033550221695e-11,1.949639213158934e-11
1,98,0.75,0.6493976265192032,0.6493976265192032,0.0,4.9037010890827345e-11,1.624700031095513e-11
1,98,0.8,0.7147485315799713,0.7147485315799713,0.0,5.2306638939583894e-11,1.2998543972910168e-11
1,98,0.8500000000000001,0.783928856253624,0.783928856253624,0.0,5.55768778548029e-11,9.748833008575792e-12
1,98,0.9,0.8555104583501816,0.8555104583501816,0.0,5.884720112009755e-11,6.499380621042883e-12
1,98,0.9500000000000001,0.9301446229219437,0.9301446229219437,0.0,6.21222966622842e-11,3.2502510245398796e-12
1,98,1.0,1.0083908885717392,1.0083908885717392,0.0,6.53962201251228e-11,0.0
1,94,0.0,0.0,0.0,0.0,0.0,6.572131869947527e-11
1,94,0.05,0.06883887946605682,0.06883887946605682,0.0,3.2838475667065743e-12,6.243648896021139e-11
1,94,0.1,0.14077308773994446,0.14077308773994446,0.0,6.5732033174168135e-12,5.914984556300724e-11
1,94,0.15000000000000002,0.2136717289686203,0.2136717289686203,0.0,9.858333345862197e-12,5.5864209533892354e-11
1,94,0.2,0.28811249136924744,0.28811249136924744,0.0,1.314416066041956e-11,5.2578063371713565e-11
1,94,0.25,0.3641952872276306,0.3641952872276306,0.0,1.642858738988615e-11,4.9292960741551284e-11
1,94,0.30000000000000004,0.44170618057250977,0.44170618057250977,0.0,1.9714497762696482e-11,4.600656709563868e-11
1,94,0.35000000000000003,0.5208535939455032,0.5208535939455032,0.0,2.2999261067232337e-11,4.272154741780941e-11
1,94,0.4,0.6013615876436234,0.6013615876436234,0.0,2.6282961379181495e-11,3.9437702109509103e-11
1,94,0.45,0.6838260143995285,0.6838260143995285,0.0,2.9571057851171096e-11,3.6149087176638263e-11
1,94,0.5,0.7676504403352737,0.7676504403352737,0.0,3.2856476764824906e-11,3.286280905341108e-11
1,94,0.55,0.8529706001281738,0.8529706001281738,0.0,3.6142145346447657e-11,2.9577310631261367e-11
1,94,0.6000000000000001,0.9398485422134399,0.9398485422134399,0.0,3.9427386070741006e-11,2.629134571899498e-11
1,94,0.65,1.0282584726810455,1.0282584726810455,0.0,4.27127233485073e-11,2.3005552004516252e-11
1,94,0.7000000000000001,1.1181707382202148,1.1181707382202148,0.0,4.599791433654077e-11,1.972004869031989e-11
1,94,0.75,1.2099345177412033,1.2099345177412033,0.0,4.9283541598558437e-11,1.6432954584315843e-11
1,94,0.8,1.3028405010700226,1.3028405010700226,0.0,5.25690003510728e-11,1.3148180263020814e-11
1,94,0.8500000000000001,1.3973425775766373,1.3973425775766373,0.0,5.5853858710030826e-11,9.862676911812549e-12
1,94,0.9,1.4935262799263,1.4935262799263,0.0,5.913905859386537e-11,6.576805196398956e-12
1,94,0.9500000000000001,1.5917364358901978,1.5917364358901978,0.0,6.242568144474327e-11,3.2891497784403393e-12
1,94,1.0,1.6917452067136765,1.6917452067136765,0.0,6.571139269937154e-11,0.0
1,67,0.0,3.0157809108495712,3.0157809108495712,0.0,0.0,6.559958275550711e-11
1,67,0.05,2.730384409427643,2.730384409427643,0.0,3.3676604779940603e-12,6.232674167325789e-11
1,67,0.1,2.5123397558927536,2.5123397558927536,0.0,6.692573561525401e-12,5.904151249904943e-11
1,67,0.15000000000000002,2.2788488417863846,2.2788488417863846,0.0,1.0031625402554466e-11,5.576389815911793e-11
1,67,0.2,2.0647213011980057,2.0647213011980057,0.0,1.336068029152266e-11,5.2493003290881144e-11
1,67,0.25,1.8566969186067581,1.8566969186067581,0.0,1.670382047396928e-11,4.921796417804623e-11
1,67,0.30000000000000004,1.656253695487976,1.656253695487976,0.0,2.004510814878755e-11,4.592669765055093e-11
1,67,0.35000000000000003,1.4706869572401047,1.4706869572401047,0.0,2.338449624759958e-11,4.264650776490423e-11
1,67,0.4,1.299761101603508,1.299761101603508,0.0,2.672481901538184e-11,3.9362912185229993e-11
1,67,0.45,1.1348194032907486,1.1348194032907486,0.0,3.0063410931807536e-11,3.6084179960969336e-11
1,67,0.5,0.9764031022787094,0.9764031022787094,0.0,3.340317329803205e-11,3.280765586108768e-11
1,67,0.55,0.8346347957849503,0.8346347957849503,0.0,3.674268736256896e-11,2.952317350441599e-11
1,67,0.6000000000000001,0.7004156559705734,0.7004156559705734,0.0,4.008144819420831e-11,2.624298532162355e-11
