case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,94,0.4,0.07349705696105957,0.07349705696105957,0.0,8.747740047436676e-11,1.3090105770253692e-10
1,94,0.45,0.07439853250980377,0.07439853250980377,0.0,9.834950686866728e-11,1.199932360949877e-10
1,94,0.5,0.09223651885986328,0.09223651885986328,0.0,1.0927396081383977e-10,1.0907810521585598e-10
1,94,0.55,0.11704806983470917,0.11704806983470917,0.0,1.202044999979336e-10,9.818385831006362e-11
1,94,0.6000000000000001,0.1396728903055191,0.1396728903055191,0.0,1.3112902897819057e-10,8.726966947322688e-11
1,94,0.65,0.15781649947166443,0.15781649947166443,0.0,1.4200487208768024e-10,7.637838703486789e-11
1,94,0.7000000000000001,0.18988162279129028,0.18988162279129028,0.0,1.529606165164681e-10,6.546126040668669e-11
1,94,0.75,0.21136261522769928,0.21136261522769928,0.0,1.6387050924044347e-10,5.4542475178696365e-11
1,94,0.8,0.24784986674785614,0.24784986674785614,0.0,1.7479204835893506e-10,4.364185662756645e-11
1,94,0.8500000000000001,0.2841217815876007,0.2841217815876007,0.0,1.8570679444351278e-10,3.2752942948062075e-11
1,94,0.9,0.31452108919620514,0.31452108919620514,0.0,1.9662269556010814e-10,2.1815792106232683e-11
1,94,0.9500000000000001,0.3521092087030411,0.3521092087030411,0.0,2.0754430274410322e-10,1.0909325644183117e-11
1,94,1.0,0.39235539734363556,0.39235539734363556,0.0,2.184692198469765e-10,0.0
1,67,0.0,0.022053033113479614,0.022053033113479614,0.0,0.0,2.2075831582760546e-10
1,67,0.05,0.0803309828042984,0.0803309828042984,0.0,1.1206546434613175e-11,2.0976849779414588e-10
1,67,0.1,0.026643171906471252,0.026643171906471252,0.0,2.2204912289474757e-11,1.9870817455300394e-10
1,67,0.15000000000000002,0.016288086771965027,0.016288086771965027,0.0,3.328280584995472e-11,1.8764773275287751e-10
1,67,0.2,0.005608454346656799,0.005608454346656799,0.0,4.429922825167648e-11,1.7664106760403662e-10
1,67,0.25,0.0,0.0,0.0,5.5336246446366024e-11,1.656012314369983e-10
1,67,0.30000000000000004,0.0017569661140441895,0.0017569661140441895,0.0,6.64131932984244e-11,1.5456973994964982e-10
1,67,0.35000000000000003,0.0011955350637435913,0.0011955350637435913,0.0,7.746779261991146e-11,1.4353046517709885e-10
1,67,0.4,0.002727121114730835,0.002727121114730835,0.0,8.85312699789547e-11,1.3248921327179118e-10
1,67,0.45,0.007070809602737427,0.007070809602737427,0.0,9.96030306073612e-11,1.2144973432628831e-10
1,67,0.5,0.008551135659217834,0.008551135659217834,0.0,1.10650164662849e-10,1.1039998596905144e-10
1,67,0.55,0.017244666814804077,0.017244666814804077,0.0,1.2173077082831185e-10,9.936321491625451e-11
1,67,0.6000000000000001,0.01895812153816223,0.01895812153816223,0.0,1.3266700518604356e-10,8.836480249559488e-11
1,67,0.65,0.0315261036157608,0.0315261036157608,0.0,1.4384801212944099e-10,7.728584400086611e-11
1,67,0.7000000000000001,0.03870221972465515,0.03870221972465515,0.0,1.5489220544641857e-10,6.624887960076556e-11
1,67,0.75,0.04697433114051819,0.04697433114051819,0.0,1.659431658847037e-10,5.520162168795262e-11
1,67,0.8,0.059473246335983276,0.059473246335983276,0.0,1.770029213277619e-10,4.416100921082459e-11
1,67,0.8500000000000001,0.07200528681278229,0.07200528681278229,0.0,1.8805544588137404e-10,3.312357166702801e-11
1,67,0.9,0.08609083294868469,0.08609083294868469,0.0,1.991154824979324e-10,2.2080662500625992e-11
1,67,0.9500000000000001,0.09995420277118683,0.09995420277118683,0.0,2.101645753872425e-10,1.1035872385856914e-11
1,67,1.0,0.11577561497688293,0.11577561497688293,0.0,2.212126279559973e-10,0.0
1,63,0.0,0.6259966492652893,0.6259966492652893,0.0,0.0,2.178168416065893e-10
1,63,0.05,0.577991709113121,0.577991709113121,0.0,1.0588058454478029e-11,2.0729436537685397e-10
1,63,0.1,0.577513188123703,0.577513188123703,0.0,2.1688076931509367e-11,1.9608093977051537e-10
1,63,0.15000000000000002,0.5348073840141296,0.5348073840141296,0.0,3.261662772753468e-11,1.8520087809484964e-10
1,63,0.2,0.47916698455810547,0.47916698455810547,0.0,4.3562213347984687e-11,1.7430670057475334e-10
1,63,0.25,0.436472088098526,0.436472088098526,0.0,5.4489041342405643e-11,1.6340490447229507e-10
1,63,0.30000000000000004,0.3976495862007141,0.3976495862007141,0.0,6.540913457412984e-11,1.525072686084732e-10
1,63,0.35000000000000003,0.3596006780862808,0.3596006780862808,0.0,7.634200098909593e-11,1.4160879171903396e-10
1,63,0.4,0.32294079661369324,0.32294079661369324,0.0,8.725906246769485e-11,1.3070580246428622e-10
1,63,0.45,0.29160551726818085,0.29160551726818085,0.0,9.818340817470262e-11,1.198029148015869e-10
1,63,0.5,0.26006047427654266,0.26006047427654266,0.0,1.0909318795527434e-10,1.0889968329050866e-10
1,63,0.55,0.16825471818447113,0.16825471818447113,0.0,1.1974824278134427e-10,9.850509777930178e-11
1,63,0.6000000000000001,0.12287397682666779,0.12287397682666779,0.0,1.304957760324584e-10,8.778044899713001e-11
1,63,0.65,0.11801481246948242,0.11801481246948242,0.0,1.419074102137274e-10,7.634817969324685e-11
1,63,0.7000000000000001,0.14470809698104858,0.14470809698104858,0.0,1.5279837066245184e-10,6.532411621530937e-11
1,63,0.75,0.11561474204063416,0.11561474204063416,0.0,1.637236819933182e-10,5.4437202302693267e-11
1,63,0.8,0.04536961019039154,0.04536961019039154,0.0,1.7482401090505152e-10,4.3554369937773526e-11
1,63,0.8500000000000001,0.054296478629112244,0.054296478629112244,0.0,1.8563264906112684e-10,3.264151002000334e-11
1,63,0.9,0.013820365071296692,0.013820365071296692,0.0,1.966186867309799e-10,2.1724894080604978e-11
1,63,0.9500000000000001,0.10351960361003876,0.10351960361003876,0.0,2.0728148032868837e-10,1.0792789670585984e-11
1,63,1.0,0.0,0.0,0.0,2.1844314705034165e-10,0.0
1,31,0.0,0.7492496818304062,0.7492496818304062,0.0,0.0,2.1786437714497648e-10
1,31,0.05,0.7436292469501495,0.7436292469501495,0.0,1.1091101888226228e-11,2.069893762022912e-10
1,31,0.1,0.6637517958879471,0.6637517958879471,0.0,2.192712644698432e-11,1.9609588727339814e-10
1,31,0.15000000000000002,0.6235900670289993,0.6235900670289993,0.0,3.2895371562630624e-11,1.8519338828873163e-10
1,31,0.2,0.5673303157091141,0.5673303157091141,0.0,4.3783110481548546e-11,1.742918282345821e-10
1,31,0.25,0.5240318924188614,0.5240318924188614,0.0,5.470579977952841e-11,1.6340546339214074e-10
1,31,0.30000000000000004,0.47139354050159454,0.47139354050159454,0.0,6.555906338552763e-11,1.5254869532008807e-10
1,31,0.35000000000000003,0.43082819879055023,0.43082819879055023,0.0,7.652281051415638e-11,1.4162410545707176e-10
1,31,0.4,0.39719974994659424,0.39719974994659424,0.0,8.74566022594725e-11,1.307430666292991e-10
1,31,0.45,0.3486346900463104,0.3486346900463104,0.0,9.834279311508016e-11,1.1985110625484857e-10
1,31,0.5,0.30877816677093506,0.30877816677093506,0.0,1.092678262948177e-10,1.0893923742259442e-10
1,31,0.55,0.2797568142414093,0.2797568142414093,0.0,1.202140376528826e-10,9.80643494795784e-11
1,31,0.6000000000000001,0.24090293049812317,0.24090293049812317,0.0,1.311288762294777e-10,8.714744230757514e-11
1,31,0.65,0.2085878700017929,0.2085878700017929,0.0,1.420435777761803e-10,7.626701835331628e-11
1,31,0.7000000000000001,0.177210733294487,0.177210733294487,0.0,1.5295350875338874e-10,6.538865359642925e-11
1,31,0.75,0.13895416259765625,0.13895416259765625,0.0,1.6386521748150343e-10,5.4465915986098275e-11
1,31,0.8,0.10800565779209137,0.10800565779209137,0.0,1.7477899034094566e-10,4.3567069628015786e-11
1,31,0.8500000000000001,0.11579665541648865,0.11579665541648865,0.0,1.8573802959403897e-10,3.2783027448562344e-11
1,31,0.9,0.07037274539470673,0.07037274539470673,0.0,1.9664466765338882e-10,2.1840620223879426e-11
1,31,0.9500000000000001,0.044192418456077576,0.044192418456077576,0.0,2.0756233001214965e-10,1.0946208322869244e-11
1,31,1.0,0.0,0.0,0.0,2.1842864565271563e-10,0.0
1,83,0.0,0.0,0.0,0.0,0.0,2.1587338776144371e-10
1,83,0.05,0.1047915518283844,0.1047915518283844,0.0,1.0500065608403058e-11,2.0509042219699793e-10
1,83,0.1,0.03355303406715393,0.03355303406715393,0.0,2.149307146752146e-11,1.9444802935841113e-10
1,83,0.15000000000000002,0.0880567878484726,0.0880567878484726,0.0,3.229019215506544e-11,1.8356609969292074e-10
1,83,0.2,0.095301553606987,0.095301553606987,0.0,4.321000816126168e-11,1.728085047170617e-10
1,83,0.25,0.11718668043613434,0.11718668043613434,0.0,5.395615283084435e-11,1.6191196343840155e-10
1,83,0.30000000000000004,0.10766801238059998,0.10766801238059998,0.0,6.479096923460504e-11,1.5118101563268562e-10
1,83,0.35000000000000003,0.13272088766098022,0.13272088766098022,0.0,7.561346203847552e-11,1.403869283338794e-10
1,83,0.4,0.19672560691833496,0.19672560691833496,0.0,8.632317188297491e-11,1.2951283565895362e-10
1,83,0.45,0.21925653517246246,0.21925653517246246,0.0,9.713358326868011e-11,1.1870717868107147e-10
1,83,0.5,0.24195194244384766,0.24195194244384766,0.0,1.0793760205759611e-10,1.0791288172281064e-10
1,83,0.55,0.2793230265378952,0.2793230265378952,0.0,1.1873762744968423e-10,9.710997434873111e-11
1,83,0.6000000000000001,0.3085053563117981,0.3085053563117981,0.0,1.2955500707196687e-10,8.631502033916885e-11
1,83,0.65,0.33714255690574646,0.33714255690574646,0.0,1.4035976909339172e-10,7.553014269130977e-11
1,83,0.7000000000000001,0.3563334494829178,0.3563334494829178,0.0,1.5124711764172654e-10,6.473666913041792e-11
1,83,0.75,0.399931862950325,0.399931862950325,0.0,1.619901230134825e-10,5.39495660380554e-11
1,83,0.8,0.4030900001525879,0.4030900001525879,0.0,1.729128674454987e-10,4.330421738048642e-11
1,83,0.8500000000000001,0.5029211938381195,0.5029211938381195,0.0,1.835333136457299e-10,3.231580415464497e-11
1,83,0.9,0.5422072261571884,0.5422072261571884,0.0,1.9434108201197935e-10,2.1521878500208794e-11
1,83,0.9500000000000001,0.5829959213733673,0.5829959213733673,0.0,2.051525073691778e-10,1.0727821256186496e-11
1,83,1.0,0.582570418715477,0.582570418715477,0.0,2.1614514903094145e-10,0.0
1,51,0.0,0.0,0.0,0.0,0.0,2.1688937350235088e-10
1,51,0.05,0.03475426137447357,0.03475426137447357,0.0,1.0800011100469376e-11,2.0617460975663797e-10
1,51,0.1,0.05721573531627655,0.05721573531627655,0.0,2.1473100699275365e-11,1.9547436925412863e-10
1,51,0.15000000000000002,0.09105335175991058,0.09105335175991058,0.0,3.2521340106098954e-11,1.844561818723293e-10
1,51,0.2,0.13010630011558533,0.13010630011558533,0.0,4.343991886039765e-11,1.7359830856462687e-10
1,51,0.25,0.1757999211549759,0.1757999211549759,0.0,5.426325723476689e-11,1.6283224628304454e-10
1,51,0.30000000000000004,0.2045184075832367,0.2045184075832367,0.0,6.513270703916708e-11,1.5194803285006377e-10
1,51,0.35000000000000003,0.23611608147621155,0.23611608147621155,0.0,7.592806210670327e-11,1.411102476280558e-10
1,51,0.4,0.24335281550884247,0.24335281550884247,0.0,8.633460653399465e-11,1.3059847129383215e-10
1,51,0.45,0.31701062619686127,0.31701062619686127,0.0,9.762948051942601e-11,1.1943591272382837e-10
1,51,0.5,0.3147342652082443,0.3147342652082443,0.0,1.0807668558382652e-10,1.0884880773300104e-10
1,51,0.55,0.3523512929677963,0.3523512929677963,0.0,1.1901868046173626e-10,9.789243286330968e-11
1,51,0.6000000000000001,0.48528680205345154,0.48528680205345154,0.0,1.302304489665952e-10,8.691887540770538e-11
1,51,0.65,0.43434059619903564,0.43434059619903564,0.0,1.410494311435042e-10,7.593441055220787e-11
1,51,0.7000000000000001,0.4737717807292938,0.4737717807292938,0.0,1.5187677184973648e-10,6.510677126718015e-11
1,51,0.75,0.5125463902950287,0.5125463902950287,0.0,1.6273385692425043e-10,5.4236291888004886e-11
1,51,0.8,0.5534258782863617,0.5534258782863617,0.0,1.7357545369752534e-10,4.3398983976941696e-11
1,51,0.8500000000000001,0.5945118367671967,0.5945118367671967,0.0,1.8440954555576425e-10,3.255526570223793e-11
1,51,0.9,0.6372970789670944,0.6372970789670944,0.0,1.9526035204952468e-10,2.170469035301027e-11
1,51,0.9500000000000001,0.6825415641069412,0.6825415641069412,0.0,2.061500357595687e-10,1.0848766452706666e-11
1,51,1.0,0.7214292883872986,0.7214292883872986,0.0,2.169041252805149e-10,0.0
1,16,0.0,0.035871654748916626,0.035871654748916626,0.0,0.0,2.1982570130060198e-10
1,16,0.05,0.11089321970939636,0.11089321970939636,0.0,1.0814446279979042e-11,2.0892700034928358e-10
1,16,0.1,0.09764555096626282,0.09764555096626282,0.0,2.1816973238057067e-11,1.9790649249824232e-10
1,16,0.15000000000000002,0.11615438759326935,0.11615438759326935,0.0,3.2814725081177406e-11,1.869191073703158e-10
1,16,0.2,0.08590957522392273,0.08590957522392273,0.0,4.3878715944440265e-11,1.7593554379208448e-10
1,16,0.25,0.0,0.0,0.0,5.505174664970865e-11,1.6502766275493154e-10
1,16,0.30000000000000004,0.07965822517871857,0.07965822517871857,0.0,6.592615301011725e-11,1.5394362470555082e-10
1,16,0.35000000000000003,0.07756136357784271,0.07756136357784271,0.0,7.697059123482675e-11,1.4294551020420263e-10
1,16,0.4,0.07839502394199371,0.07839502394199371,0.0,8.800747417290955e-11,1.3193715753498862e-10
1,16,0.45,0.08562415838241577,0.08562415838241577,0.0,9.902730243676854e-11,1.2094053227638316e-10
1,16,0.5,0.09197929501533508,0.09197929501533508,0.0,1.100405145791319e-10,1.0993275030293621e-10
1,16,0.55,0.11254805326461792,0.11254805326461792,0.0,1.2105635901121982e-10,9.89345834227355e-11
1,16,0.6000000000000001,0.12539635598659515,0.12539635598659515,0.0,1.3208962303613916e-10,8.795249676736089e-11
1,16,0.65,0.06265212595462799,0.06265212595462799,0.0,1.4334710809377937e-10,7.697492393909502e-11
1,16,0.7000000000000001,0.15888257324695587,0.15888257324695587,0.0,1.5417416231552932e-10,6.594019725231356e-11
1,16,0.75,0.17683659493923187,0.17683659493923187,0.0,1.6518548465894433e-10,5.495144472724712e-11
1,16,0.8,0.17276740074157715,0.17276740074157715,0.0,1.7628629909013036e-10,4.3959154269431426e-11
1,16,0.8500000000000001,0.21307145059108734,0.21307145059108734,0.0,1.8728527168074589e-10,3.295615215745338e-11
1,16,0.9,0.2184268981218338,0.2184268981218338,0.0,1.9834648778527648e-10,2.1888045837210718e-11
