case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,0.0,0.0,0.0,0.0,4.399022087245319e-11
1,98,0.05,0.4883762151002884,0.4883762151002884,0.0,2.304672618578188e-12,4.17955119566598e-11
1,98,0.1,1.236005187034607,1.236005187034607,0.0,4.605566545135417e-12,3.9603167260541314e-11
1,98,0.15000000000000002,2.2555230259895325,2.2555230259895325,0.0,6.928344504587787e-12,3.740635978907369e-11
1,98,0.2,2.3411351442337036,2.3411351442337036,0.0,8.55572424184547e-12,3.5609702680613484e-11
1,98,0.25,3.263564795255661,3.263564795255661,0.0,1.0580893993758877e-11,3.3583545338749266e-11
1,98,0.30000000000000004,4.403332233428955,4.403332233428955,0.0,1.2849452258937121e-11,3.1442679636102304e-11
1,98,0.35000000000000003,5.485008135437965,5.485008135437965,0.0,1.488540638504544e-11,2.9369231524795886e-11
1,98,0.4,6.782599478960037,6.782599478960037,0.0,1.7098173140327653e-11,2.7228100763923534e-11
1,98,0.45,8.234154298901558,8.234154298901558,0.0,1.93089857474852e-11,2.5092614230222143e-11
1,98,0.5,9.811242133378983,9.811242133378983,0.0,2.150435627687662e-11,2.2959917508605872e-11
1,98,0.55,11.516907095909119,11.516907095909119,0.0,2.367866746600068e-11,2.0836608547225922e-11
1,98,0.6000000000000001,13.379517540335655,13.379517540335655,0.0,2.5893135858768705e-11,1.8696918936797633e-11
1,98,0.65,15.347900569438934,15.347900569438934,0.0,2.8065123585593637e-11,1.6581264827638032e-11
1,98,0.7000000000000001,17.439196407794952,17.439196407794952,0.0,3.0248366489719666e-11,1.4461557579783283e-11
1,98,0.75,19.707347512245178,19.707347512245178,0.0,3.2496798872127336e-11,1.2304795576690131e-11
1,98,0.8,22.00834172964096,22.00834172964096,0.0,3.4696871215964577e-11,1.0177133406943863e-11
1,98,0.8500000000000001,24.348107278347015,24.348107278347015,0.0,3.691939115342656e-11,8.045123270129138e-12
1,98,0.9,26.420480012893677,26.420480012893677,0.0,3.9034364240066224e-11,5.985549411293758e-12
1,98,0.9500000000000001,29.16874684393406,29.16874684393406,0.0,4.14906944191906e-11,3.831791504811994e-12
1,98,1.0,61.870854154229164,61.870854154229164,0.0,4.6374989108304614e-11,0.0
1,94,0.0,0.5647748410701752,0.5647748410701752,0.0,0.0,4.5140976134566026e-11
1,94,0.05,0.2387017160654068,0.2387017160654068,0.0,2.3221119207824367e-12,4.288446777530763e-11
1,94,0.1,0.04876525700092316,0.04876525700092316,0.0,4.6398940665684695e-12,4.0629151768041464e-11
1,94,0.15000000000000002,0.0,0.0,0.0,6.852283749514829e-12,3.8458461380952175e-11
1,94,0.2,0.08187177777290344,0.08187177777290344,0.0,9.144128472907419e-12,3.622493159042699e-11
1,94,0.25,0.2771432399749756,0.2771432399749756,0.0,1.126730586136313e-11,3.4098292751153396e-11
1,94,0.30000000000000004,0.5947765856981277,0.5947765856981277,0.0,1.3620169212460765e-11,3.182151365758596e-11
1,94,0.35000000000000003,0.7474145144224167,0.7474145144224167,0.0,1.566938946579943e-11,2.970684515011917e-11
1,94,0.4,1.2010937631130219,1.2010937631130219,0.0,1.794317933082298e-11,2.7472660198746402e-11
1,94,0.45,1.7785381525754929,1.7785381525754929,0.0,2.0182005313965416e-11,2.5258889481342586e-11
1,94,0.5,2.4601729959249496,2.4601729959249496,0.0,2.2485286787682474e-11,2.3008549547993e-11
1,94,0.55,3.2824503779411316,3.2824503779411316,0.0,2.4794979651181763e-11,2.0759076192145175e-11
1,94,0.6000000000000001,4.2331729382276535,4.2331729382276535,0.0,2.7111950409910615e-11,1.8500446407477e-11
1,94,0.65,5.264822870492935,5.264822870492935,0.0,2.936182179694795e-11,1.6265459580464703e-11
1,94,0.7000000000000001,6.521313920617104,6.521313920617104,0.0,3.163246671118173e-11,1.4066057182032684e-11
1,94,0.75,7.860129818320274,7.860129818320274,0.0,3.385470836598196e-11,1.1878216564238995e-11
1,94,0.8,9.338649824261665,9.338649824261665,0.0,3.6109116919585255e-11,9.673596807554284e-12
1,94,0.8500000000000001,11.047838300466537,11.047838300466537,0.0,3.837485154134823e-11,7.471884990685678e-12
1,94,0.9,12.742099866271019,12.742099866271019,0.0,4.082149010805486e-11,5.130462946917141e-12
1,94,0.9500000000000001,15.885631382465363,15.885631382465363,0.0,4.374777149039606e-11,2.4800950618193373e-12
1,94,1.0,20.429110825061798,20.429110825061798,0.0,4.64501676054252e-11,0.0
1,67,0.0,0.007608875632286072,0.007608875632286072,0.0,0.0,4.482461540068024e-11
