case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,3.569929152727127,3.569929152727127,0.0,0.0,2.2038759217506381e-10
1,98,0.05,3.0598326325416565,3.0598326325416565,0.0,1.1488777284579365e-11,2.094158477529021e-10
1,98,0.1,2.62191703915596,2.62191703915596,0.0,2.287448363799282e-11,1.9839390778274932e-10
1,98,0.15000000000000002,2.0888174772262573,2.0888174772262573,0.0,3.484096982914529e-11,1.8740704064411133e-10
1,98,0.2,1.731668844819069,1.731668844819069,0.0,4.552640138032962e-11,1.7660383095904048e-10
1,98,0.25,1.2197252064943314,1.2197252064943314,0.0,5.637035750015725e-11,1.656690004800236e-10
1,98,0.30000000000000004,1.505130559206009,1.505130559206009,0.0,6.722457304991104e-11,1.543228653201525e-10
1,98,0.35000000000000003,1.2938546687364578,1.2938546687364578,0.0,7.827555455282133e-11,1.4327217178124888e-10
1,98,0.4,1.0465518683195114,1.0465518683195114,0.0,8.944455613796389e-11,1.32248769167108e-10
1,98,0.45,0.8492210954427719,0.8492210954427719,0.0,1.0063228473252915e-10,1.2123882890056423e-10
1,98,0.5,0.6755889654159546,0.6755889654159546,0.0,1.1172811786086287e-10,1.102190022210256e-10
1,98,0.55,0.5186003595590591,0.5186003595590591,0.0,1.2284676068812533e-10,9.91902836642483e-11
1,98,0.6000000000000001,0.3879231661558151,0.3879231661558151,0.0,1.3391709025010295e-10,8.816735543804828e-11
1,98,0.65,0.2744295746088028,0.2744295746088028,0.0,1.4505842382931297e-10,7.713782682089306e-11
1,98,0.7000000000000001,0.1789396107196808,0.1789396107196808,0.0,1.5614764290295834e-10,6.61200338818953e-11
1,98,0.75,0.10336440801620483,0.10336440801620483,0.0,1.6727926096429593e-10,5.510310348135546e-11
1,98,0.8,0.042205408215522766,0.042205408215522766,0.0,1.7844802918570792e-10,4.408495810401954e-11
1,98,0.8500000000000001,0.018080398440361023,0.018080398440361023,0.0,1.8951081989941466e-10,3.3049067272054375e-11
1,98,0.9,0.0,0.0,0.0,2.0066193315499344e-10,2.203719187202893e-11
1,98,0.9500000000000001,0.005415067076683044,0.005415067076683044,0.0,2.1179070214917722e-10,1.1018256996894152e-11
1,98,1.0,0.030630946159362793,0.030630946159362793,0.0,2.229510997029559e-10,0.0
1,94,0.0,2.0384457111358643,2.0384457111358643,0.0,0.0,2.2016086676964957e-10
1,94,0.05,1.4851582795381546,1.4851582795381546,0.0,1.2015303156759326e-11,2.0915659382006704e-10
1,94,0.1,1.2973363399505615,1.2973363399505615,0.0,2.371355078037919e-11,1.981518371382729e-10
1,94,0.15000000000000002,1.0520511865615845,1.0520511865615845,0.0,3.400435817383852e-11,1.871932084245153e-10
1,94,0.2,0.8194488883018494,0.8194488883018494,0.0,4.511143917216719e-11,1.7620657795553042e-10
1,94,0.25,0.6673191785812378,0.6673191785812378,0.0,5.617158346534532e-11,1.6518614853514173e-10
