case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,1.720302939414978,1.720302939414978,0.0,0.0,2.150418676395985e-10
1,98,0.05,1.5895485281944275,1.5895485281944275,0.0,1.0778925856595343e-11,2.0428717170387014e-10
1,98,0.1,1.4634226560592651,1.4634226560592651,0.0,2.1554663345296174e-11,1.935295743821217e-10
1,98,0.15000000000000002,1.3420887738466263,1.3420887738466263,0.0,3.232082276525282e-11,1.82778709447251e-10
1,98,0.2,1.2202810645103455,1.2202810645103455,0.0,4.305436357944979e-11,1.7209381630799864e-10
1,98,0.25,1.1137345135211945,1.1137345135211945,0.0,5.385981607551965e-11,1.6127495228326375e-10
1,98,0.30000000000000004,1.0065400153398514,1.0065400153398514,0.0,6.46306275232381e-11,1.5051874521275202e-10
1,98,0.35000000000000003,0.9040895402431488,0.9040895402431488,0.0,7.540042102802808e-11,1.3976935346626458e-10
1,98,0.4,0.8064421862363815,0.8064421862363815,0.0,8.61727739964361e-11,1.2901629625044275e-10
1,98,0.45,0.7135557532310486,0.7135557532310486,0.0,9.69428377359709e-11,1.182665488498955e-10
1,98,0.5,0.6255187839269638,0.6255187839269638,0.0,1.0771205297991923e-10,1.0751876058607585e-10
1,98,0.55,0.5424922704696655,0.5424922704696655,0.0,1.1848215208911433e-10,9.675720776214636e-11
1,98,0.6000000000000001,0.46387842297554016,0.46387842297554016,0.0,1.2925550968733346e-10,8.600656734632835e-11
1,98,0.65,0.3894308805465698,0.3894308805465698,0.0,1.400208933445975e-10,7.526018021652286e-11
1,98,0.7000000000000001,0.3200058341026306,0.3200058341026306,0.0,1.507924545113477e-10,6.451317485954019e-11
1,98,0.75,0.25483423471450806,0.25483423471450806,0.0,1.6156235854957377e-10,5.376194932496011e-11
1,98,0.8,0.19622211158275604,0.19622211158275604,0.0,1.7232995616178354e-10,4.301988004379097e-11
1,98,0.8500000000000001,0.13937553763389587,0.13937553763389587,0.0,1.831009985760948e-10,3.225660709876274e-11
1,98,0.9,0.09135141968727112,0.09135141968727112,0.0,1.938804718575167e-10,2.1516116919781247e-11
1,98,0.9500000000000001,0.05063788592815399,0.05063788592815399,0.0,2.0465937210865074e-10,1.0761370653613661e-11
1,98,1.0,0.0,0.0,0.0,2.1540378938944447e-10,0.0
1,94,0.0,0.0,0.0,0.0,0.0,2.1421573432061243e-10
1,94,0.05,0.37200044095516205,0.37200044095516205,0.0,1.0701416863821464e-11,2.0352311697512106e-10
