e_ref,dnde,dnde_err
0.7166177640460887,1.0444151853831484e-11,3.100098844302782e-12
0.8648090438022308,1.292089554454668e-11,2.1345522744789394e-12
1.048113134154686,9.07853564759317e-12,1.6627674551192741e-12
1.2702701826031997,8.399644451497578e-12,6.673100080410105e-13
1.5461062369290837,5.302626377454047e-12,4.21267313278534e-13
1.865829628372584,4.408265096419476e-12,3.500797758762241e-13
2.261309075809664,3.664646261902023e-12,2.9113793335160717e-13
2.752346794891112,2.38529664261376e-12,1.8949996407038253e-13
3.3357315654224733,1.5765406004984957e-12,1.514675915279063e-13
4.060077492688767,1.3932133315497336e-12,1.1068387535302003e-13
4.941713361323836,9.068343421679916e-13,7.204348179952576e-14
5.9891541564587065,7.200654881894405e-13,5.720562453426885e-14
7.227667159668811,3.783950831871213e-13,3.006160885288929e-14
8.759636515873165,3.447866790469155e-13,2.7391588167307466e-14
10.616320618412995,1.6529929829157566e-13,2.4385254999816063e-14
12.86654569156017,1.5061769731969354e-13,1.1965827528759655e-14
15.593726299663397,6.488073955645777e-14,1.3065840762451148e-14
18.81839413857773,2.0585706379808645e-14,1.2482380311393106e-14
22.516694642068494,3.203402012949477e-14,7.044024566270777e-15
26.712598771243343,2.919295342733922e-14,6.419296743677843e-15
31.42078772222614,1.787831154839002e-14,4.95496311792362e-15
36.80126173166249,5.502784509940532e-15,2.6861098462551966e-15
42.91934260128774,3.319063069818365e-15,2.34879835532346e-15
52.23917257095507,9.607274761373773e-16,1.5565257413113565e-15
