e_ref,dnde,dnde_err
0.562341,1.63165e-11,1.06665e-11
1.0,8.65394e-12,2.69447e-12
1.77828,3.15643e-12,7.61697e-13
3.16228,8.58517e-13,2.41205e-13
5.62341,2.46071e-13,7.44988e-14
10.0,7.08399e-14,2.46605e-14
17.7828,2.71905e-14,7.69554e-15
